CUSTOMERID,GENDER,AGE,MARRIED,DEPENDENTS,CITY,ZIP_CODE,SENIORCITIZEN,TENURE,PHONESERVICE,MULTIPLELINES,INTERNETSERVICE,INTERNET_TYPE,ONLINESECURITY,ONLINEBACKUP,DEVICEPROTECTION,TECHSUPPORT,STREAMINGTV,STREAMINGMOVIES,STREAMING_MUSIC,UNLIMITED_DATA,CONTRACT,PAPERLESSBILLING,PAYMENTMETHOD,MONTHLYCHARGES,TOTALCHARGES,TOTAL_REVENUE,TOTAL_REFUNDS,NUMBER_OF_REFERRALS,OFFER,AVG_MONTHLY_GB_DOWNLOAD,CHURN,CHURN_CATEGORY,CHURN_REASON,CHURN_BINARY,CHURN_PROBABILITY,RISK_TIER
3677-IYRBF,Female,73,False,False,Newcastle,95658,1,2,False,No phone service,DSL,DSL,No,No,Yes,No,No,No,False,True,Month-to-month,True,Electronic check,30.4,78.65,78.65,0.0,0,,13.0,Yes,Attitude,Attitude of support person,1,0.9947465437788019,High Risk
3677-TNKIO,Female,27,False,False,Templeton,93465,0,14,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Credit card (automatic),71.0,914.0,1421.5,0.0,0,,52.0,Yes,Other,Don't know,1,0.49624203415873475,Medium Risk
3678-MNGZX,Male,45,True,True,Porter Ranch,91326,0,68,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),19.95,1377.7,3789.24,28.98,1,Offer A,,No,,,0,0.003681614079603355,Low Risk
3680-CTHUH,Male,22,False,False,Kneeland,95549,0,60,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,One year,True,Credit card (automatic),116.6,7049.5,9703.9,0.0,0,,52.0,No,,,0,0.1705038110208816,Low Risk
3682-YEUWS,Male,27,True,True,Tulelake,96134,0,10,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Mailed check,24.4,253.9,295.5,0.0,4,,,No,,,0,0.030159623945772592,Low Risk
3683-QKIUE,Female,51,False,False,San Francisco,94107,0,6,True,No,DSL,DSL,No,No,No,Yes,No,No,False,True,Month-to-month,True,Bank transfer (automatic),50.8,288.05,419.51,0.0,0,Offer E,12.0,Yes,Competitor,Competitor offered higher download speeds,1,0.38817026541998273,Medium Risk
3685-YLCMQ,Male,34,False,False,Dobbins,95935,0,58,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,Yes,Yes,Yes,True,False,One year,True,Electronic check,104.65,6219.6,8645.72,0.0,0,Offer B,25.0,Yes,Dissatisfaction,Service dissatisfaction,1,0.42438131220638625,Medium Risk
3688-FTHLT,Female,56,False,False,Flournoy,96029,0,16,True,Yes,DSL,DSL,No,No,No,No,No,Yes,True,False,Month-to-month,True,Bank transfer (automatic),63.05,1067.05,1760.73,0.0,0,,23.0,No,,,0,0.27313466585121937,Low Risk
3689-MOZGR,Female,30,False,False,Irvine,92618,0,29,False,No phone service,DSL,Cable,No,No,No,Yes,No,No,False,True,Month-to-month,True,Electronic check,31.2,926.2,926.2,0.0,0,,59.0,No,,,0,0.18198224768286106,Low Risk
3692-JHONH,Female,70,True,False,Kettleman City,93239,1,52,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,False,False,One year,True,Electronic check,106.5,5621.85,7154.33,0.0,9,,18.0,No,,,0,0.10104591937720349,Low Risk
3694-DELSO,Male,56,True,True,Olancha,93549,0,4,False,No phone service,DSL,DSL,Yes,No,No,No,Yes,No,False,True,Month-to-month,False,Credit card (automatic),38.55,156.1,156.1,0.0,3,,53.0,No,,,0,0.1385835026861496,Low Risk
3694-GLTJM,Female,62,False,False,Corning,96021,0,5,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Credit card (automatic),19.65,92.05,301.7,0.0,0,,,No,,,0,0.049427405022196266,Low Risk
3696-DFHHB,Female,50,False,False,Big Bend,96011,0,68,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Bank transfer (automatic),25.5,1821.8,2472.71,16.85,0,,,No,,,0,0.004388848377193286,Low Risk
3696-XRIEN,Female,59,False,False,San Jose,95124,0,50,True,Yes,DSL,DSL,Yes,No,Yes,Yes,Yes,Yes,True,True,One year,True,Credit card (automatic),82.5,4179.1,5220.25,21.35,0,Offer B,2.0,No,,,0,0.08738975791416329,Low Risk
3701-SFMUH,Male,63,True,True,Trabuco Canyon,92679,0,7,True,No,DSL,Cable,Yes,No,No,No,Yes,Yes,True,True,Month-to-month,False,Credit card (automatic),69.7,516.15,552.34,0.0,6,Offer E,51.0,No,,,0,0.11462728034560957,Low Risk
3703-KBKZP,Male,70,False,False,Standish,96128,1,16,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),74.45,1261.35,1613.67,0.0,0,Offer D,5.0,No,,,0,0.549937101234177,Medium Risk
3703-TTEPD,Male,28,False,False,Irvine,92614,0,21,True,No,DSL,DSL,Yes,No,Yes,No,Yes,No,False,True,Month-to-month,False,Bank transfer (automatic),65.35,1424.4,1763.76,0.0,0,,42.0,No,,,0,0.11736135885520786,Low Risk
3703-VAVCL,Male,51,True,True,Strawberry Valley,95981,0,2,True,No,Fiber optic,Fiber Optic,No,No,Yes,Yes,No,Yes,True,True,Month-to-month,False,Credit card (automatic),90.0,190.05,283.89,0.0,1,,7.0,Yes,Competitor,Competitor made better offer,1,0.987779330309331,High Risk
3704-IEAXF,Female,49,True,True,Los Angeles,90063,0,72,False,No phone service,DSL,DSL,No,Yes,No,Yes,Yes,Yes,True,True,Two year,False,Credit card (automatic),53.65,3784.0,3784.0,0.0,9,,53.0,No,,,0,0.0070932843437436196,Low Risk
3705-PSNGL,Male,49,False,False,Cerritos,90703,0,45,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Electronic check,20.4,930.45,2073.45,0.0,0,Offer B,,Yes,Price,Long distance charges,1,0.16770744338768315,Low Risk
3705-RHRFR,Female,52,True,False,Ukiah,95482,0,69,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,No,Yes,Yes,True,True,Two year,False,Bank transfer (automatic),99.15,6875.35,10004.5,0.0,6,,19.0,No,,,0,0.03675208305895963,Low Risk
3707-GNWHM,Male,28,False,False,Carmel Valley,93924,0,1,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Mailed check,74.25,74.25,96.05,0.0,0,,42.0,Yes,Other,Don't know,1,0.9948741223207688,High Risk
3707-LRWZD,Female,44,False,False,Oakland,94611,0,32,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,One year,False,Electronic check,84.05,2781.85,4070.17,0.0,0,,14.0,Yes,Other,Moved,1,0.332505031526534,Medium Risk
3709-OIJEA,Male,51,False,False,Geyserville,95441,0,26,True,No,Fiber optic,Fiber Optic,No,Yes,Yes,Yes,No,No,False,True,One year,True,Electronic check,85.2,2184.6,2957.32,0.0,0,,11.0,No,,,0,0.28613347020916235,Low Risk
3712-PKXZA,Male,22,True,False,Glendale,91201,0,61,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Credit card (automatic),20.55,1252.0,2427.47,0.0,3,,,No,,,0,0.02247140610528328,Low Risk
3714-JTVOV,Female,76,True,False,Crows Landing,95313,1,42,True,No,Fiber optic,Fiber Optic,Yes,No,No,No,No,No,False,True,Month-to-month,True,Credit card (automatic),74.15,3229.4,3351.2,0.0,1,Offer B,21.0,Yes,Attitude,Attitude of support person,1,0.6367706262985283,High Risk
3714-NTNFO,Female,49,False,False,Los Angeles,90048,0,49,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,Yes,True,True,Month-to-month,True,Electronic check,84.5,3906.7,5239.5,0.0,0,Offer B,24.0,No,,,0,0.37273532438544343,Medium Risk
3714-XPXBW,Female,43,False,False,Santa Cruz,95062,0,37,True,Yes,DSL,DSL,Yes,Yes,Yes,Yes,Yes,No,False,False,Month-to-month,True,Credit card (automatic),78.9,2976.95,4576.12,0.0,0,,4.0,No,,,0,0.18194065667569861,Low Risk
3716-BDVDB,Male,62,False,False,San Diego,92130,0,1,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,69.1,69.1,107.76,0.0,0,Offer E,18.0,Yes,Competitor,Competitor made better offer,1,0.9978937411278875,High Risk
3716-LRGXK,Male,27,True,False,San Jose,95136,0,60,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,True,True,Two year,False,Credit card (automatic),101.15,6067.4,6670.4,0.0,0,,48.0,No,,,0,0.16657064298667823,Low Risk
3717-FDJFU,Male,19,False,True,Montgomery Creek,96065,0,5,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,20.45,106.9,252.65,0.0,0,Offer E,,No,,,0,0.016092967921952184,Low Risk
3717-LNXKW,Male,36,True,False,Glenn,95943,0,38,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,No,Yes,No,False,True,Month-to-month,False,Bank transfer (automatic),91.7,3479.05,3962.03,0.0,3,,9.0,No,,,0,0.2550237533321207,Low Risk
3719-TDVQB,Female,68,True,False,Ripon,95366,1,54,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Mailed check,18.95,1031.1,2323.86,0.0,3,,,No,,,0,0.00393162153938016,Low Risk
3720-DBRWL,Male,20,True,False,Tehama,96090,0,51,True,No,DSL,Cable,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Credit card (automatic),83.85,4307.1,4658.49,0.0,5,Offer B,41.0,No,,,0,0.012554517268846788,Low Risk
3721-CNEYS,Female,45,False,False,Douglas City,96024,0,2,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,70.95,137.95,168.61,0.0,0,,26.0,Yes,Dissatisfaction,Poor expertise of phone support,1,0.9883872569780316,High Risk
3721-CNZHX,Male,49,False,False,Berkeley,94704,0,15,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Mailed check,19.8,304.6,387.7,0.0,0,,,No,,,0,0.007861841841146763,Low Risk
3721-WKIIL,Female,62,False,False,Smartville,95977,0,27,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,True,Mailed check,19.6,561.15,964.15,13.07,0,,,No,,,0,0.011743231346483387,Low Risk
3722-WPXTK,Male,23,False,False,Benton,93512,0,1,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,88.35,88.35,102.61,0.0,0,,46.0,Yes,Competitor,Competitor offered higher download speeds,1,0.9947397137186182,High Risk
3723-BFBGR,Male,74,False,False,Borrego Springs,92004,1,24,True,Yes,DSL,Cable,No,Yes,No,No,No,No,False,False,Month-to-month,False,Credit card (automatic),54.8,1291.3,1609.14,0.0,0,,27.0,No,,,0,0.2514033502580528,Low Risk
3724-BSCVH,Male,37,True,True,Mecca,92254,0,10,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Mailed check,20.45,242.4,618.3,0.0,0,Offer D,,No,,,0,0.029234094644376457,Low Risk
3724-UCSHY,Male,48,True,True,Reedley,93654,0,6,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,19.55,122.9,342.14,0.0,5,Offer E,,No,,,0,0.01600061456089289,Low Risk
3726-TBHQT,Male,25,True,True,Catheys Valley,95306,0,71,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),114.0,8175.9,9982.85,0.0,0,,59.0,No,,,0,0.12934956982855417,Low Risk
3727-OVPRY,Male,32,True,True,Calabasas,91302,0,66,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,True,Credit card (automatic),25.7,1714.55,4541.99,0.0,3,Offer A,,No,,,0,0.004061224489795918,Low Risk
3727-OWVYD,Male,24,False,False,Campo,91906,0,35,True,No,DSL,DSL,Yes,Yes,Yes,No,No,No,False,True,One year,False,Mailed check,61.2,2021.2,3364.5,0.0,0,,82.0,No,,,0,0.05839329753117917,Low Risk
3727-RJMEO,Male,34,True,False,Rohnert Park,94928,0,6,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,82.85,460.25,462.84,48.95,3,,28.0,Yes,Competitor,Competitor had better devices,1,0.7469306467185045,High Risk
3729-OWRVL,Male,80,False,False,Pixley,93256,1,65,True,Yes,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,False,True,Two year,True,Electronic check,110.35,7246.15,10121.1,0.0,0,,27.0,No,,,0,0.08405532495698279,Low Risk
3733-LSYCE,Female,22,True,False,Samoa,95564,0,15,True,No,Fiber optic,Fiber Optic,No,Yes,No,No,No,No,False,True,Month-to-month,False,Bank transfer (automatic),75.35,1114.55,1565.9,0.0,6,,71.0,No,,,0,0.1711938174454232,Low Risk
3733-UOCWF,Male,78,True,False,Helendale,92342,1,61,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,Yes,No,No,False,True,One year,True,Bank transfer (automatic),85.55,5251.75,8097.4,0.0,5,Offer B,23.0,No,,,0,0.0317300340401418,Low Risk
3733-ZEECP,Male,29,True,True,Inglewood,90301,0,22,True,No,DSL,Cable,No,No,No,Yes,No,No,False,True,Month-to-month,True,Electronic check,51.1,1232.9,1846.92,0.0,3,,27.0,No,,,0,0.0693674814406359,Low Risk
3736-BLEPA,Male,50,False,False,Folsom,95630,0,28,True,No,Fiber optic,Fiber Optic,No,Yes,No,Yes,Yes,No,False,True,One year,True,Bank transfer (automatic),91.25,2483.65,2866.97,0.0,0,Offer C,12.0,No,,,0,0.1340197021917854,Low Risk
3737-GCSPV,Female,60,True,False,Millbrae,94030,0,11,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,Yes,Yes,No,False,True,Month-to-month,True,Credit card (automatic),96.2,1222.05,1517.73,0.0,5,,19.0,Yes,Competitor,Competitor had better devices,1,0.654046164670105,High Risk
3737-XBQDD,Male,57,False,False,Mount Laguna,91948,0,24,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,No,No,False,False,Month-to-month,True,Bank transfer (automatic),84.85,2048.8,2443.92,0.0,0,Offer C,14.0,No,,,0,0.40992771570223463,Medium Risk
3739-YBWAB,Male,37,True,False,Paramount,90723,0,36,False,No phone service,DSL,Cable,Yes,No,Yes,No,No,No,False,True,One year,False,Mailed check,35.35,1317.95,1317.95,0.0,7,Offer C,23.0,No,,,0,0.011965288106918947,Low Risk
3740-RLMVT,Male,79,True,False,Saint Helena,94574,1,67,True,No,DSL,Cable,Yes,Yes,No,Yes,No,No,False,True,One year,True,Bank transfer (automatic),60.95,4119.4,6920.9,17.19,7,Offer A,12.0,No,,,0,0.024087325741387992,Low Risk
3744-ZRRDZ,Male,25,False,False,Torrance,90501,0,21,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,No,No,No,True,True,Month-to-month,True,Electronic check,82.35,1852.85,2120.81,0.0,0,Offer D,48.0,Yes,Dissatisfaction,Network reliability,1,0.47853344980659895,Medium Risk
3745-HRPHI,Male,49,True,True,Yuba City,95993,0,66,False,No phone service,DSL,DSL,No,No,Yes,Yes,Yes,Yes,True,True,Two year,False,Bank transfer (automatic),54.65,3632.0,3585.25,46.75,0,,28.0,No,,,0,0.04668311913082231,Low Risk
3746-EUBYR,Male,63,True,False,Fallbrook,92028,0,1,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),74.6,74.6,119.33,0.0,1,Offer E,3.0,Yes,Competitor,Competitor made better offer,1,0.9929007619171757,High Risk
3748-FVMZZ,Male,33,False,False,Oakland,94610,0,4,False,No phone service,DSL,DSL,No,No,No,Yes,No,Yes,True,True,Month-to-month,True,Electronic check,40.05,162.45,162.45,0.0,0,,13.0,No,,,0,0.31668444192471906,Medium Risk
3750-CKVKH,Male,58,False,False,Clearlake Oaks,95423,0,2,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,67.75,116.65,140.15,0.0,0,,4.0,Yes,Other,Don't know,1,0.9886830585047491,High Risk
3750-RNQKR,Female,38,False,False,Alameda,94501,0,12,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,19.45,246.25,463.69,0.0,0,,,No,,,0,0.054807192991605753,Low Risk
3750-YHRYO,Male,64,True,True,Glendora,91741,0,7,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Mailed check,20.65,150.0,297.63,0.0,1,,,No,,,0,0.03589727273897326,Low Risk
3751-KTZEL,Female,62,False,False,Yorkville,95494,0,1,False,No phone service,DSL,DSL,No,No,No,No,No,Yes,True,True,Month-to-month,False,Mailed check,35.05,35.05,35.05,0.0,0,Offer E,22.0,Yes,Competitor,Competitor offered higher download speeds,1,1.0,High Risk
3752-CQSJI,Female,59,True,True,San Anselmo,94960,0,13,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,True,Mailed check,20.45,254.5,467.7,0.0,1,Offer D,,No,,,0,0.16140627672640742,Low Risk
3753-TSEMP,Female,21,True,False,San Diego,92139,0,15,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,False,Electronic check,88.15,1390.6,1574.65,0.0,1,,76.0,Yes,Dissatisfaction,Product dissatisfaction,1,0.6539467565106146,High Risk
3754-DXMRT,Male,78,False,False,San Pablo,94806,1,2,True,No,DSL,DSL,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,44.15,92.65,179.97,0.0,0,,25.0,Yes,Attitude,Attitude of support person,1,0.9990243902439024,High Risk
3755-JBMNH,Male,78,True,False,Huntington Beach,92648,1,16,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),71.8,1167.8,1902.2,0.0,1,,5.0,Yes,Competitor,Competitor offered more data,1,0.7718643401660823,High Risk
3756-VNWDH,Male,66,True,False,Pasadena,91101,1,65,True,Yes,Fiber optic,Fiber Optic,Yes,No,No,No,Yes,Yes,False,True,One year,True,Electronic check,100.75,6674.65,8759.85,0.0,6,,8.0,No,,,0,0.03655803607059979,Low Risk
3757-NJYBX,Male,77,True,False,Nipomo,93444,1,32,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,False,True,Month-to-month,False,Bank transfer (automatic),106.35,3520.75,3774.19,0.0,3,,3.0,Yes,Other,Moved,1,0.5890649278328791,Medium Risk
3758-CKOQL,Female,20,True,False,Valyermo,93563,0,59,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,True,False,One year,True,Credit card (automatic),107.0,6152.3,8580.15,0.0,7,Offer B,48.0,No,,,0,0.04053031130881399,Low Risk
3761-FLYZI,Female,69,True,False,Los Angeles,90011,1,65,True,Yes,Fiber optic,Fiber Optic,No,Yes,Yes,No,Yes,Yes,False,True,Month-to-month,True,Bank transfer (automatic),108.8,7082.45,10215.38,21.52,4,,9.0,No,,,0,0.1721519081850458,Low Risk
3763-GCZHZ,Male,23,True,False,Hathaway Pines,95233,0,66,True,Yes,Fiber optic,Fiber Optic,No,Yes,No,Yes,Yes,Yes,True,True,One year,True,Electronic check,104.05,6890.0,8214.62,0.0,1,Offer A,85.0,Yes,Competitor,Competitor offered more data,1,0.5168458408675572,Medium Risk
3764-MNMOI,Male,49,False,False,Boulevard,91905,0,46,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),19.2,908.15,2333.69,0.0,0,Offer B,,No,,,0,0.011980990658198874,Low Risk
3765-JXVKY,Female,23,False,False,Paynes Creek,96075,0,1,True,No,Fiber optic,Fiber Optic,No,Yes,No,No,No,No,True,True,Month-to-month,True,Electronic check,74.7,74.7,118.81,0.0,0,Offer E,69.0,Yes,Competitor,Competitor offered more data,1,0.99875,High Risk
3766-EJLFL,Female,55,True,True,Mill Creek,96061,0,68,True,Yes,Fiber optic,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,True,True,Two year,True,Bank transfer (automatic),109.05,7508.55,8761.11,0.0,1,,53.0,No,,,0,0.23679426781070542,Low Risk
3768-NLUBH,Male,73,True,False,Torrance,90503,1,57,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,Yes,False,True,Month-to-month,False,Electronic check,100.6,5746.15,8145.85,0.0,1,Offer B,3.0,Yes,Dissatisfaction,Network reliability,1,0.5329097201414489,Medium Risk
3768-VHXQO,Male,19,True,False,Redondo Beach,90278,0,67,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),24.85,1583.5,1803.26,0.0,9,Offer A,,No,,,0,0.0001672175822174751,Low Risk
3769-MHZNV,Female,61,True,True,Salyer,95563,0,33,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,20.1,670.35,1471.26,0.0,2,,,No,,,0,0.0012136279295370204,Low Risk
3771-PZOBW,Male,38,False,False,Solvang,93463,0,20,True,Yes,Fiber optic,Fiber Optic,No,No,Yes,No,Yes,No,False,True,Month-to-month,True,Credit card (automatic),90.7,1781.35,2289.55,0.0,0,Offer D,27.0,No,,,0,0.4423350796155162,Medium Risk
3774-VBNXY,Female,23,True,True,Hawaiian Gardens,90716,0,64,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,20.2,1277.75,3597.11,0.0,1,,,No,,,0,0.007023653399006663,Low Risk
3776-EKTKM,Female,79,False,False,Burbank,91501,1,1,False,No phone service,DSL,Cable,No,No,No,No,Yes,No,False,True,Month-to-month,True,Electronic check,36.45,36.45,36.45,0.0,0,,26.0,Yes,Dissatisfaction,Service dissatisfaction,1,0.99,High Risk
3777-XROBG,Female,52,True,True,Echo Lake,95721,0,58,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Credit card (automatic),19.55,1079.65,3603.81,0.0,4,,,No,,,0,0.0005343849698688408,Low Risk
3778-FOAQW,Female,33,True,False,San Diego,92127,0,24,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,One year,False,Mailed check,20.15,456.85,1245.49,0.0,1,Offer C,,No,,,0,0.010217849626938608,Low Risk
3779-OSWCF,Female,38,True,False,Dillon Beach,94929,0,71,True,Yes,DSL,Cable,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,False,Credit card (automatic),93.2,6506.15,7366.67,0.0,8,,23.0,No,,,0,0.001537967097780499,Low Risk
3780-DDGSE,Male,77,True,True,Shoshone,92384,1,35,True,No,DSL,DSL,No,Yes,No,Yes,Yes,Yes,True,True,Month-to-month,True,Electronic check,76.05,2747.2,3243.85,0.0,6,Offer C,17.0,No,,,0,0.0782020327394322,Low Risk
3780-YVMFA,Female,33,True,True,Long Beach,90803,0,8,True,No,DSL,Cable,No,No,No,Yes,Yes,Yes,True,True,Month-to-month,True,Electronic check,68.55,564.35,803.87,0.0,1,,17.0,No,,,0,0.30569901935456195,Medium Risk
3785-KTYSH,Male,24,False,False,Mission Hills,91345,0,53,True,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Two year,False,Mailed check,24.6,1279.0,3051.8,37.68,0,,,No,,,0,0.009888762795838477,Low Risk
3786-WOVKF,Female,69,True,False,Anaheim,92807,1,72,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,No,No,Yes,Yes,True,False,One year,True,Bank transfer (automatic),106.85,7677.4,8342.6,0.0,8,Offer A,20.0,No,,,0,0.034615636000242915,Low Risk
3787-TRIAL,Male,23,True,True,San Ardo,93450,0,21,False,No phone service,DSL,DSL,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,26.05,565.75,565.75,0.0,1,Offer D,59.0,No,,,0,0.21714112441600103,Low Risk
3791-LGQCY,Female,68,True,False,Loomis,95650,1,56,True,Yes,Fiber optic,Cable,No,No,Yes,No,Yes,Yes,False,False,Month-to-month,True,Bank transfer (automatic),100.65,5688.05,7711.41,0.0,1,,29.0,Yes,Attitude,Attitude of support person,1,0.6156678715542089,High Risk
3793-MMFUH,Female,73,False,False,Davis,95618,1,13,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,True,Electronic check,95.05,1290.0,1537.39,0.0,0,,24.0,Yes,Competitor,Competitor made better offer,1,0.7006732088216837,High Risk
3794-NFNCH,Male,53,True,False,Bella Vista,96008,0,30,True,No,DSL,DSL,No,No,Yes,No,No,No,False,True,Month-to-month,True,Mailed check,50.0,1474.9,2169.7,0.0,10,Offer C,6.0,No,,,0,0.02521435947898057,Low Risk
3795-CAWEX,Male,21,True,True,Whitmore,96096,0,70,True,Yes,Fiber optic,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,True,True,Two year,True,Credit card (automatic),116.55,8152.3,11006.2,0.0,5,Offer A,71.0,No,,,0,0.04428028881756323,Low Risk
3795-GWTRD,Female,58,True,True,Los Angeles,90048,0,63,True,No,DSL,Cable,Yes,Yes,Yes,Yes,Yes,No,False,True,Two year,False,Credit card (automatic),75.55,4707.85,5106.64,0.0,7,,30.0,No,,,0,0.001866034340238791,Low Risk
3796-ENZGF,Male,52,True,False,The Sea Ranch,95497,0,63,True,Yes,DSL,Cable,No,Yes,No,Yes,No,Yes,True,False,Two year,False,Mailed check,67.25,4234.15,7416.97,0.0,2,,28.0,No,,,0,0.044943208024488444,Low Risk
3797-FKOGQ,Male,31,False,True,Canoga Park,91303,0,11,True,Yes,Fiber optic,Fiber Optic,No,No,No,No,No,Yes,True,False,Month-to-month,False,Electronic check,86.2,893.2,987.44,0.0,0,,10.0,No,,,0,0.5403414619825284,Medium Risk
3797-VTIDR,Male,55,True,False,San Jose,95121,0,1,False,No phone service,DSL,DSL,No,No,No,No,No,No,False,True,Month-to-month,True,Electronic check,23.45,23.45,23.45,0.0,3,Offer E,21.0,Yes,Price,Price too high,1,0.9874285714285714,High Risk
3799-ISUZQ,Male,49,True,True,California Hot Springs,93207,0,7,True,No,Fiber optic,Fiber Optic,No,No,No,No,No,No,False,True,Month-to-month,True,Bank transfer (automatic),69.95,529.5,777.44,0.0,9,,3.0,Yes,Dissatisfaction,Poor expertise of online support,1,0.1893574959879618,Low Risk
3800-LYTRK,Female,52,False,False,Point Reyes Station,94956,0,14,True,No,DSL,DSL,Yes,No,No,Yes,No,No,False,False,One year,False,Mailed check,55.7,795.15,1282.67,0.0,0,,26.0,No,,,0,0.06856493507315747,Low Risk
3801-HMYNL,Male,44,True,True,Brooks,95606,0,1,True,No,Fiber optic,Fiber Optic,No,No,No,No,Yes,Yes,True,True,Month-to-month,False,Mailed check,89.15,89.15,121.5,0.0,1,,18.0,Yes,Competitor,Competitor had better devices,1,0.9955234729701193,High Risk
3803-KMQFW,Female,25,True,True,Brea,92821,0,1,True,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,,Month-to-month,False,Mailed check,20.55,20.55,58.47,0.0,1,,,Yes,Attitude,Attitude of support person,1,0.9771428571428572,High Risk
